generation,max,mean,min
0.0,-52.30407523511024,-20023.746081504403,-50036.78683385491
1.0,-52.30407523511024,-14425.990595611092,-50039.92163009316
2.0,-52.30407523510983,-4266.235109717815,-48255.59561128443
3.0,-52.30407523510983,-457.4702194357375,-4602.30407523515
4.0,-52.30407523510983,-87.45768025078485,-552.304075235131
5.0,-52.30407523510983,-56.69278996865224,-93.0564263322882
6.0,-52.30407523510983,-61.68965517241388,-202.3040752351093
7.0,-52.30407523510983,-58.304075235109806,-202.30407523510846
8.0,-52.30407523510983,-75.05642633228938,-621.1128526645978
9.0,-52.30407523510983,-1703.683385579905,-40186.786833854974
